card_company,card_name,event,promotions,fee,perform,brand,fee_in,fee_out
BC바로카드,始發(시발)카드,최대 11만원 캐시백,"배달앱 최대 1,800원할인 && 편의점 최대 1,800원할인 && 실적/한도없이 0.7%할인",국내전용 5000원  해외겸용 8000원,전월실적없음,VISA BC,5000,8000
BC바로카드,BC 바로 클리어 플러스,최대 11만원 캐시백,점심식사/배달앱 7%할인 && 온라인쇼핑 10%할인 && 휴대폰요금/스트리밍 10%할인,국내전용 5000원  해외겸용 5000원,전월실적15만원 이상,BC mastercard,5000,5000
BC바로카드,BC 바로 페이백 플러스,,전 가맹점 0.7%기본 할인 && 온라인쇼핑 6.3%추가 할인 && 음식점 6.3%추가 할인,국내전용 15000원  해외겸용 15000원,전월실적40만원 이상,VISA BC,15000,15000
BC바로카드,BC 바로 리워드 플러스,최대 11만원 캐시백,영화/구독서비스 30%적립 && 쇼핑 5%적립 && 주유소/핸드폰요금 5%적립,국내전용 10000원  해외겸용 10000원,전월실적30만원 이상,BC mastercard,10000,10000
BC바로카드,밸런스 카드,,스타벅스 사이렌오더 50%할인 && 배달어플 10%할인 && 골프 7%할인,국내전용 10000원  해외겸용 12000원,전월실적40만원 이상,VISA BC,10000,12000
BC바로카드,신세계 BC 바로 SEVEN FLEX,,신세계백화점 7%할인 && 간편결제 7%할인 && 카페 7%할인,국내전용 20000원  해외겸용 20000원,전월실적30만원 이상,VISA BC,20000,20000
BC바로카드,신세계 BC 바로 콰트로 플러스,,쇼핑 5%할인 && 교통 4%할인 && 온라인몰 7%할인,국내전용 5000원  해외겸용 5000원,전월실적30만원 이상,VISA BC,5000,5000
BC바로카드,신세계 BC 바로 리워드 플러스,,페이북머니 최대 1.5%기본 적립 && 페이북머니 최대 30%특별 적립 && 국내 전 가맹점 2~3개월무이자 할부,국내전용 10000원  해외겸용 10000원,전월실적30만원 이상,VISA BC,10000,10000
BC바로카드,블랙핑크 카드,,음반/티켓 10%할인 && 편의점/백화점 10%할인 && 대중교통/배달앱 10%할인,국내전용 10000원  해외겸용 12000원,전월실적30만원 이상,VISA BC,10000,12000
BC바로카드,신세계 BC 바로 아시아나 플러스,,"아시아나 1,000원당 최대 2.0마일적립 && 신세계백화점 제휴서비스 제공 && Visa Platinum서비스 제공",국내전용 10000원  해외겸용 10000원,전월실적50만원 이상,VISA BC,10000,10000
